id_prod;date;session_id;client_id;price;categ;sex;age;year;month;day;range_age
0_1718;2021-09-16 21:07:03;s_90935;c_6714;9.67;0;f;57;2021;9;16;54-58
0_1475;2022-04-14 18:07:41;s_194047;c_6714;11.99;0;f;57;2022;4;14;54-58
0_1480;2023-01-26 16:42:18;s_332754;c_6714;4.15;0;f;57;2023;1;26;54-58
0_2108;2022-06-16 18:28:17;s_224806;c_6714;8.82;0;f;57;2022;6;16;54-58
1_337;2021-12-24 22:00:04;s_139465;c_6714;24.99;1;f;57;2021;12;24;54-58
1_367;2022-09-27 02:43:11;s_274104;c_6714;13.99;1;f;57;2022;9;27;54-58
0_1356;2021-07-17 20:04:41;s_63624;c_6714;5.57;0;f;57;2021;7;17;54-58
0_501;2022-09-17 21:22:09;s_269564;c_6714;12.99;0;f;57;2022;9;17;54-58
0_1572;2021-08-02 04:16:37;s_70234;c_6714;8.61;0;f;57;2021;8;2;54-58
0_1166;2021-05-16 18:21:07;s_35391;c_6714;18.45;0;f;57;2021;5;16;54-58
0_1547;2022-05-18 04:16:38;s_210258;c_6714;8.99;0;f;57;2022;5;18;54-58
1_249;2023-01-02 19:51:36;s_321026;c_6714;22.99;1;f;57;2023;1;2;54-58
0_2219;2022-08-18 03:19:06;s_254855;c_6714;14.99;0;f;57;2022;8;18;54-58
2_101;2021-11-01 23:07:42;s_113416;c_6714;63.99;2;f;57;2021;11;1;54-58
0_2123;2021-12-29 00:20:55;s_141566;c_6714;9.99;0;f;57;2021;12;29;54-58
0_1637;2022-02-19 19:10:25;s_167750;c_6714;4.99;0;f;57;2022;2;19;54-58
0_1548;2021-03-17 23:28:19;s_7792;c_6714;9.66;0;f;57;2021;3;17;54-58
0_499;2021-06-29 13:15:11;s_55519;c_6714;13.99;0;f;57;2021;6;29;54-58
1_403;2022-01-30 19:20:41;s_157552;c_6714;17.99;1;f;57;2022;1;30;54-58
1_358;2021-08-06 11:49:20;s_72095;c_6714;17.24;1;f;57;2021;8;6;54-58
0_485;2021-08-02 09:52:47;s_70340;c_6714;12.99;0;f;57;2021;8;2;54-58
0_551;2021-04-21 02:45:33;s_23471;c_6714;12.99;0;f;57;2021;4;21;54-58
1_480;2021-03-24 23:33:37;s_10992;c_6714;19.08;1;f;57;2021;3;24;54-58
1_379;2022-04-05 02:15:33;s_189377;c_6714;26.99;1;f;57;2022;4;5;54-58
1_448;2022-06-10 18:56:37;s_221775;c_6714;13.79;1;f;57;2022;6;10;54-58
0_1527;2021-06-02 16:53:48;s_43129;c_6714;7.99;0;f;57;2021;6;2;54-58
0_1393;2022-08-04 23:49:36;s_248494;c_6714;11.99;0;f;57;2022;8;4;54-58
0_1440;2022-10-13 02:07:27;s_281684;c_6714;5.62;0;f;57;2022;10;13;54-58
0_1572;2022-12-06 13:01:10;s_307917;c_6714;8.61;0;f;57;2022;12;6;54-58
1_461;2022-10-06 02:24:38;s_278381;c_6714;12.99;1;f;57;2022;10;6;54-58
1_347;2022-12-10 01:16:15;s_309763;c_6714;21.99;1;f;57;2022;12;10;54-58
0_1166;2021-10-10 06:07:36;s_102627;c_6714;18.45;0;f;57;2021;10;10;54-58
1_475;2022-06-07 16:22:02;s_220258;c_6714;20.99;1;f;57;2022;6;7;54-58
0_2140;2022-03-31 04:04:34;s_187107;c_6714;12.47;0;f;57;2022;3;31;54-58
0_1429;2022-05-22 03:42:58;s_212167;c_6714;7.99;0;f;57;2022;5;22;54-58
1_100;2022-01-21 01:42:09;s_152845;c_6714;15.13;1;f;57;2022;1;21;54-58
1_453;2021-12-26 06:47:22;s_140199;c_6714;13.99;1;f;57;2021;12;26;54-58
0_375;2021-06-05 17:24:09;s_44481;c_6714;8.99;0;f;57;2021;6;5;54-58
0_1499;2021-05-03 09:59:33;s_29261;c_6714;11.99;0;f;57;2021;5;3;54-58
0_2092;2022-10-07 17:33:00;s_279155;c_6714;14.17;0;f;57;2022;10;7;54-58
0_1167;2022-09-07 21:26:14;s_264780;c_6714;8.99;0;f;57;2022;9;7;54-58
0_1357;2023-02-16 10:31:22;s_342373;c_6714;15.99;0;f;57;2023;2;16;54-58
0_1600;2021-09-06 02:14:25;s_85670;c_6714;13.23;0;f;57;2021;9;6;54-58
0_2100;2022-02-26 17:48:48;s_171292;c_6714;6.66;0;f;57;2022;2;26;54-58
1_493;2023-01-01 06:53:47;s_320297;c_6714;10.99;1;f;57;2023;1;1;54-58
1_283;2021-11-27 09:00:59;s_125783;c_6714;14.99;1;f;57;2021;11;27;54-58
0_1634;2022-07-20 18:14:35;s_241212;c_6714;5.8;0;f;57;2022;7;20;54-58
1_461;2022-05-02 17:29:35;s_202620;c_6714;12.99;1;f;57;2022;5;2;54-58
1_365;2022-03-06 10:29:35;s_175130;c_6714;13.99;1;f;57;2022;3;6;54-58
0_1490;2022-02-22 21:25:16;s_169330;c_6714;10.4;0;f;57;2022;2;22;54-58
0_2053;2022-07-27 04:13:12;s_244305;c_6714;14.99;0;f;57;2022;7;27;54-58
2_200;2023-02-06 19:55:14;s_337859;c_6714;115.75;2;f;57;2023;2;6;54-58
1_389;2022-10-24 06:21:43;s_287221;c_6714;24.99;1;f;57;2022;10;24;54-58
1_488;2023-01-12 00:21:36;s_325555;c_6714;12.19;1;f;57;2023;1;12;54-58
0_1358;2022-04-27 04:58:27;s_200026;c_6714;16.49;0;f;57;2022;4;27;54-58
1_407;2021-05-04 16:26:50;s_29863;c_6714;15.99;1;f;57;2021;5;4;54-58
1_94;2021-11-02 16:34:35;s_113772;c_6714;27.11;1;f;57;2021;11;2;54-58
0_1566;2022-02-18 06:35:19;s_166976;c_6714;9.04;0;f;57;2022;2;18;54-58
1_480;2022-12-05 01:22:13;s_307228;c_6714;19.08;1;f;57;2022;12;5;54-58
0_1094;2022-12-09 17:56:36;s_309589;c_6714;16.98;0;f;57;2022;12;9;54-58
0_1136;2021-04-22 11:51:31;s_24110;c_6714;3.02;0;f;57;2021;4;22;54-58
1_288;2021-05-30 19:22:42;s_41782;c_6714;22.09;1;f;57;2021;5;30;54-58
1_462;2021-06-07 16:42:13;s_45416;c_6714;16.66;1;f;57;2021;6;7;54-58
0_1260;2021-11-02 21:41:00;s_113874;c_6714;10.35;0;f;57;2021;11;2;54-58
0_657;2022-06-10 07:21:00;s_221521;c_6714;6.99;0;f;57;2022;6;10;54-58
1_567;2021-11-20 21:57:45;s_122623;c_6714;11.99;1;f;57;2021;11;20;54-58
0_1313;2022-08-18 04:09:17;s_254855;c_6714;13.99;0;f;57;2022;8;18;54-58
0_1115;2021-04-02 09:22:41;s_14853;c_6714;6.99;0;f;57;2021;4;2;54-58
1_333;2021-06-17 22:55:00;s_50079;c_6714;15.99;1;f;57;2021;6;17;54-58
0_998;2022-05-05 23:16:56;s_204223;c_6714;9.41;0;f;57;2022;5;5;54-58
1_437;2023-01-01 15:47:41;s_320481;c_6714;26.99;1;f;57;2023;1;1;54-58
1_111;2021-09-02 11:50:38;s_83997;c_6714;42.99;1;f;57;2021;9;2;54-58
0_1259;2022-06-22 22:38:03;s_227802;c_6714;11.99;0;f;57;2022;6;22;54-58
1_395;2021-11-17 17:49:20;s_121086;c_6714;28.99;1;f;57;2021;11;17;54-58
0_669;2022-03-26 21:52:03;s_185016;c_6714;6.99;0;f;57;2022;3;26;54-58
0_1386;2021-08-07 22:26:46;s_72730;c_6714;13.16;0;f;57;2021;8;7;54-58
0_2131;2022-03-17 23:11:16;s_180586;c_6714;8.99;0;f;57;2022;3;17;54-58
0_1600;2021-05-17 09:51:44;s_35674;c_6714;13.23;0;f;57;2021;5;17;54-58
0_1330;2022-08-03 11:36:06;s_247771;c_6714;10.44;0;f;57;2022;8;3;54-58
1_468;2022-08-09 12:24:00;s_250720;c_6714;17.75;1;f;57;2022;8;9;54-58
0_1139;2022-10-20 01:24:44;s_285100;c_6714;3.99;0;f;57;2022;10;20;54-58
0_1428;2021-10-30 23:24:09;s_112462;c_6714;3.55;0;f;57;2021;10;30;54-58
1_282;2021-03-17 16:21:28;s_7643;c_6714;23.2;1;f;57;2021;3;17;54-58
2_62;2022-12-27 03:28:00;s_317875;c_6714;60.96;2;f;57;2022;12;27;54-58
1_400;2021-04-03 17:31:58;s_15506;c_6714;16.6;1;f;57;2021;4;3;54-58
0_2002;2021-08-09 04:25:15;s_73261;c_6714;19.16;0;f;57;2021;8;9;54-58
0_1543;2022-10-01 07:09:34;s_276087;c_6714;13.99;0;f;57;2022;10;1;54-58
0_1168;2022-01-29 01:51:57;s_156686;c_6714;11.91;0;f;57;2022;1;29;54-58
0_1652;2021-05-08 19:25:23;s_31782;c_6714;10.7;0;f;57;2021;5;8;54-58
0_2060;2022-03-17 22:54:00;s_180586;c_6714;5.48;0;f;57;2022;3;17;54-58
1_475;2022-06-28 07:09:54;s_230384;c_6714;20.99;1;f;57;2022;6;28;54-58
0_1499;2021-10-27 18:43:18;s_111008;c_6714;11.99;0;f;57;2021;10;27;54-58
1_395;2022-09-19 18:35:52;s_270481;c_6714;28.99;1;f;57;2022;9;19;54-58
1_414;2021-08-05 12:12:53;s_71689;c_6714;23.83;1;f;57;2021;8;5;54-58
0_998;2022-03-27 04:53:42;s_185177;c_6714;9.41;0;f;57;2022;3;27;54-58
0_1555;2022-09-19 21:31:42;s_270532;c_6714;15.99;0;f;57;2022;9;19;54-58
1_540;2022-04-11 23:17:01;s_192701;c_6714;6.59;1;f;57;2022;4;11;54-58
1_392;2022-12-08 11:45:09;s_308915;c_6714;18.11;1;f;57;2022;12;8;54-58
0_1149;2022-12-19 21:11:17;s_314556;c_6714;5.99;0;f;57;2022;12;19;54-58
0_662;2021-07-23 09:03:09;s_66037;c_6714;7.54;0;f;57;2021;7;23;54-58
1_397;2021-08-07 12:17:05;s_72555;c_6714;18.99;1;f;57;2021;8;7;54-58
1_379;2021-06-05 02:15:33;s_44189;c_6714;26.99;1;f;57;2021;6;5;54-58
0_373;2022-03-20 14:53:19;s_181878;c_6714;6.99;0;f;57;2022;3;20;54-58
0_1717;2023-01-20 16:27:14;s_329733;c_6714;13.99;0;f;57;2023;1;20;54-58
1_437;2021-03-01 15:47:41;s_329;c_6714;26.99;1;f;57;2021;3;1;54-58
0_574;2021-08-01 09:54:05;s_69898;c_6714;14.34;0;f;57;2021;8;1;54-58
0_596;2022-07-13 06:33:16;s_237669;c_6714;6.18;0;f;57;2022;7;13;54-58
0_693;2021-12-25 02:33:09;s_139576;c_6714;7.99;0;f;57;2021;12;25;54-58
0_1411;2022-06-01 09:12:54;s_217183;c_6714;8.99;0;f;57;2022;6;1;54-58
0_1471;2022-10-12 05:00:29;s_281270;c_6714;12.99;0;f;57;2022;10;12;54-58
0_1470;2023-02-17 21:12:16;s_343013;c_6714;19.53;0;f;57;2023;2;17;54-58
1_457;2021-05-13 13:23:04;s_33987;c_6714;22.99;1;f;57;2021;5;13;54-58
0_1574;2021-12-01 16:40:02;s_127871;c_6714;9.67;0;f;57;2021;12;1;54-58
0_1357;2022-04-16 10:31:22;s_194823;c_6714;15.99;0;f;57;2022;4;16;54-58
0_1471;2021-10-26 20:10:18;s_110542;c_6714;12.99;0;f;57;2021;10;26;54-58
0_1393;2021-03-30 12:54:19;s_13516;c_6714;11.99;0;f;57;2021;3;30;54-58
1_557;2022-04-01 21:33:37;s_187889;c_6714;36.99;1;f;57;2022;4;1;54-58
1_353;2021-05-30 19:38:17;s_41795;c_6714;26.99;1;f;57;2021;5;30;54-58
1_41;2022-11-05 17:38:04;s_293143;c_6714;11.99;1;f;57;2022;11;5;54-58
0_2020;2022-02-04 19:02:57;s_159966;c_6714;10.01;0;f;57;2022;2;4;54-58
0_2060;2023-02-17 22:54:00;s_343057;c_6714;5.48;0;f;57;2023;2;17;54-58
1_365;2022-08-05 00:00:33;s_248498;c_6714;13.99;1;f;57;2022;8;5;54-58
1_653;2022-08-03 12:09:42;s_247768;c_6714;25.99;1;f;57;2022;8;3;54-58
0_1471;2021-11-20 01:53:59;s_122228;c_6714;12.99;0;f;57;2021;11;20;54-58
0_1823;2021-10-06 14:25:04;s_100876;c_6714;3.99;0;f;57;2021;10;6;54-58
0_1348;2021-09-14 10:51:55;s_89747;c_6714;12.03;0;f;57;2021;9;14;54-58
1_389;2022-03-25 06:35:51;s_184195;c_6714;24.99;1;f;57;2022;3;25;54-58
1_189;2021-05-17 08:41:11;s_35641;c_6714;13.99;1;f;57;2021;5;17;54-58
2_226;2023-02-07 14:11:29;s_338227;c_6714;65.75;2;f;57;2023;2;7;54-58
1_598;2023-02-04 02:37:38;s_336602;c_6714;14.05;1;f;57;2023;2;4;54-58
1_102;2022-01-03 16:25:01;s_144433;c_6714;3.29;1;f;57;2022;1;3;54-58
0_1075;2022-04-24 12:06:02;s_198756;c_6714;10.99;0;f;57;2022;4;24;54-58
0_1307;2021-04-09 06:02:08;s_18037;c_6714;18.99;0;f;57;2021;4;9;54-58
0_246;2021-08-22 21:26:33;s_79337;c_6714;3.97;0;f;57;2021;8;22;54-58
1_183;2021-11-15 20:27:58;s_120161;c_6714;24.99;1;f;57;2021;11;15;54-58
1_376;2022-02-28 18:22:59;s_172313;c_6714;17.49;1;f;57;2022;2;28;54-58
0_1600;2021-07-29 07:23:58;s_68566;c_6714;13.23;0;f;57;2021;7;29;54-58
1_267;2021-07-20 17:43:59;s_64912;c_6714;27.99;1;f;57;2021;7;20;54-58
1_414;2022-06-07 08:47:11;s_220103;c_6714;23.83;1;f;57;2022;6;7;54-58
0_1183;2021-08-12 11:26:03;s_74709;c_6714;17.99;0;f;57;2021;8;12;54-58
1_265;2022-11-17 08:41:46;s_298755;c_6714;24.99;1;f;57;2022;11;17;54-58
0_2131;2021-11-11 17:03:59;s_118107;c_6714;8.99;0;f;57;2021;11;11;54-58
1_374;2022-05-02 04:13:42;s_202379;c_6714;10.71;1;f;57;2022;5;2;54-58
1_640;2021-09-02 20:50:39;s_84193;c_6714;11.9;1;f;57;2021;9;2;54-58
0_1565;2021-05-30 06:44:16;s_41533;c_6714;7.99;0;f;57;2021;5;30;54-58
2_110;2023-02-22 20:52:00;s_345463;c_6714;62.25;2;f;57;2023;2;22;54-58
1_446;2021-12-14 17:17:36;s_134331;c_6714;23.92;1;f;57;2021;12;14;54-58
0_1445;2021-10-13 08:40:33;s_104098;c_6714;9.99;0;f;57;2021;10;13;54-58
0_1625;2022-11-14 17:16:37;s_297546;c_6714;5.99;0;f;57;2022;11;14;54-58
0_1584;2022-06-16 21:53:43;s_224876;c_6714;11.85;0;f;57;2022;6;16;54-58
0_1304;2023-02-15 06:40:29;s_341837;c_6714;5.86;0;f;57;2023;2;15;54-58
1_442;2022-10-17 17:33:28;s_283888;c_6714;24.98;1;f;57;2022;10;17;54-58
1_343;2022-03-31 01:07:07;s_187050;c_6714;27.99;1;f;57;2022;3;31;54-58
1_529;2023-02-02 04:33:06;s_335737;c_6714;17.99;1;f;57;2023;2;2;54-58
2_1;2021-06-14 20:49:19;s_48685;c_6714;56.99;2;f;57;2021;6;14;54-58
0_1574;2021-05-01 13:07:35;s_28409;c_6714;9.67;0;f;57;2021;5;1;54-58
0_1267;2022-09-23 04:38:42;s_272205;c_6714;3.99;0;f;57;2022;9;23;54-58
1_643;2021-07-01 20:02:43;s_56548;c_6714;29.99;1;f;57;2021;7;1;54-58
0_2291;2022-11-14 16:46:45;s_297546;c_6714;12.99;0;f;57;2022;11;14;54-58
1_591;2021-10-31 09:41:56;s_112671;c_6714;39.99;1;f;57;2021;10;31;54-58
0_1354;2023-01-09 09:39:28;s_324281;c_6714;7.02;0;f;57;2023;1;9;54-58
0_1253;2021-07-25 13:10:24;s_66948;c_6714;12.99;0;f;57;2021;7;25;54-58
2_101;2021-05-26 21:44:39;s_39969;c_6714;63.99;2;f;57;2021;5;26;54-58
1_448;2021-09-12 05:10:15;s_88632;c_6714;13.79;1;f;57;2021;9;12;54-58
1_282;2022-04-07 09:48:31;s_190488;c_6714;23.2;1;f;57;2022;4;7;54-58
1_695;2022-10-06 16:03:28;s_278614;c_6714;26.99;1;f;57;2022;10;6;54-58
2_173;2023-01-25 21:36:21;s_332332;c_6714;155.99;2;f;57;2023;1;25;54-58
0_657;2023-01-21 11:37:10;s_330125;c_6714;6.99;0;f;57;2023;1;21;54-58
1_201;2021-04-15 22:59:52;s_21103;c_6714;23.99;1;f;57;2021;4;15;54-58
1_286;2022-06-28 00:11:52;s_230249;c_6714;29.44;1;f;57;2022;6;28;54-58
0_1692;2021-12-20 13:37:00;s_137257;c_6714;13.36;0;f;57;2021;12;20;54-58
0_1126;2022-01-10 00:23:55;s_147521;c_6714;11.78;0;f;57;2022;1;10;54-58
1_461;2022-04-30 19:21:58;s_201734;c_6714;12.99;1;f;57;2022;4;30;54-58
0_1474;2023-01-05 13:15:24;s_322370;c_6714;9.88;0;f;57;2023;1;5;54-58
1_358;2021-11-05 05:22:58;s_114960;c_6714;17.24;1;f;57;2021;11;5;54-58
1_262;2022-11-10 01:49:10;s_295343;c_6714;26.25;1;f;57;2022;11;10;54-58
1_369;2022-08-01 14:52:40;s_246894;c_6714;23.99;1;f;57;2022;8;1;54-58
0_1367;2021-06-08 12:57:54;s_45805;c_6714;11.99;0;f;57;2021;6;8;54-58
1_425;2023-01-17 01:38:54;s_328016;c_6714;16.99;1;f;57;2023;1;17;54-58
1_378;2022-11-25 12:00:32;s_302563;c_6714;26.61;1;f;57;2022;11;25;54-58
1_397;2022-08-15 07:47:29;s_253533;c_6714;18.99;1;f;57;2022;8;15;54-58
1_431;2021-08-23 20:05:20;s_79760;c_6714;27.99;1;f;57;2021;8;23;54-58
0_1278;2022-03-08 11:25:48;s_176173;c_6714;8.96;0;f;57;2022;3;8;54-58
1_347;2021-03-22 21:10:44;s_10062;c_6714;21.99;1;f;57;2021;3;22;54-58
1_267;2022-08-20 17:43:59;s_256028;c_6714;27.99;1;f;57;2022;8;20;54-58
1_448;2021-09-21 04:31:10;s_93054;c_6714;13.79;1;f;57;2021;9;21;54-58
1_723;2022-10-13 23:43:19;s_282109;c_6714;10.99;1;f;57;2022;10;13;54-58
2_154;2022-09-13 09:03:31;s_267366;c_6714;96.74;2;f;57;2022;9;13;54-58
1_350;2022-08-09 17:38:13;s_250815;c_6714;20.83;1;f;57;2022;8;9;54-58
1_383;2022-01-12 06:31:24;s_148610;c_6714;28.99;1;f;57;2022;1;12;54-58
0_655;2021-11-19 06:52:56;s_121836;c_6714;9.99;0;f;57;2021;11;19;54-58
0_490;2021-11-04 11:24:24;s_114629;c_6714;12.45;0;f;57;2021;11;4;54-58
1_461;2021-05-14 00:03:49;s_34170;c_6714;12.99;1;f;57;2021;5;14;54-58
1_397;2022-01-04 17:53:04;s_144952;c_6714;18.99;1;f;57;2022;1;4;54-58
0_2279;2022-04-30 16:05:05;s_201666;c_6714;9.99;0;f;57;2022;4;30;54-58
1_283;2022-08-11 00:18:36;s_251448;c_6714;14.99;1;f;57;2022;8;11;54-58
1_39;2022-04-11 11:57:25;s_192454;c_6714;12.99;1;f;57;2022;4;11;54-58
1_389;2022-03-27 05:49:30;s_185177;c_6714;24.99;1;f;57;2022;3;27;54-58
0_1143;2022-09-17 03:32:59;s_269230;c_6714;9.99;0;f;57;2022;9;17;54-58
1_400;2022-07-30 10:15:17;s_245842;c_6714;16.6;1;f;57;2022;7;30;54-58
0_1311;2021-10-19 04:53:28;s_106936;c_6714;18.99;0;f;57;2021;10;19;54-58
0_1045;2022-08-17 18:28:26;s_254654;c_6714;5.99;0;f;57;2022;8;17;54-58
1_583;2021-03-17 15:49:50;s_7643;c_6714;16.99;1;f;57;2021;3;17;54-58
1_389;2022-11-24 00:34:14;s_301847;c_6714;24.99;1;f;57;2022;11;24;54-58
1_673;2021-07-01 12:19:09;s_56399;c_6714;12.99;1;f;57;2021;7;1;54-58
1_414;2021-11-01 14:28:51;s_113220;c_6714;23.83;1;f;57;2021;11;1;54-58
0_1038;2021-10-27 18:49:22;s_111008;c_6714;9.74;0;f;57;2021;10;27;54-58
0_1587;2021-12-20 04:40:52;s_137040;c_6714;14.99;0;f;57;2021;12;20;54-58
0_1431;2021-09-27 23:02:24;s_96561;c_6714;10.99;0;f;57;2021;9;27;54-58
0_1553;2022-02-09 08:59:03;s_162355;c_6714;13.99;0;f;57;2022;2;9;54-58
1_543;2022-01-15 18:11:58;s_150282;c_6714;51.99;1;f;57;2022;1;15;54-58
0_1475;2022-08-05 16:53:56;s_248844;c_6714;11.99;0;f;57;2022;8;5;54-58
1_374;2021-11-02 04:13:42;s_113531;c_6714;10.71;1;f;57;2021;11;2;54-58
1_22;2021-06-14 01:35:04;s_48349;c_6714;29.33;1;f;57;2021;6;14;54-58
0_1394;2022-01-21 01:52:14;s_152845;c_6714;15.63;0;f;57;2022;1;21;54-58
1_734;2022-06-05 00:24:20;s_218906;c_6714;24.28;1;f;57;2022;6;5;54-58
1_441;2022-01-15 02:12:20;s_149971;c_6714;24.99;1;f;57;2022;1;15;54-58
0_2044;2023-02-24 02:42:39;s_346063;c_6714;5.28;0;f;57;2023;2;24;54-58
1_260;2022-03-21 23:24:59;s_182488;c_6714;17.63;1;f;57;2022;3;21;54-58
1_459;2022-01-10 00:16:28;s_147519;c_6714;15.99;1;f;57;2022;1;10;54-58
0_1391;2023-02-27 02:50:26;s_347506;c_6714;7.99;0;f;57;2023;2;27;54-58
0_2076;2021-06-03 11:10:52;s_43479;c_6714;11.39;0;f;57;2021;6;3;54-58
0_930;2021-09-23 20:57:00;s_94428;c_6714;12.91;0;f;57;2021;9;23;54-58
1_28;2023-02-25 17:36:37;s_346803;c_6714;13.03;1;f;57;2023;2;25;54-58
1_10;2021-04-09 07:38:08;s_18065;c_6714;78.83;1;f;57;2021;4;9;54-58
0_1435;2021-04-30 08:10:24;s_27844;c_6714;13.99;0;f;57;2021;4;30;54-58
1_529;2021-07-02 04:33:06;s_56706;c_6714;17.99;1;f;57;2021;7;2;54-58
0_1046;2022-11-15 18:35:48;s_298000;c_6714;10.06;0;f;57;2022;11;15;54-58
1_318;2021-10-31 09:57:28;s_112671;c_6714;17.24;1;f;57;2021;10;31;54-58
1_29;2022-11-19 17:08:50;s_299867;c_6714;11.99;1;f;57;2022;11;19;54-58
0_2028;2021-03-22 18:58:58;s_10014;c_6714;13.37;0;f;57;2021;3;22;54-58
1_688;2022-05-19 05:40:47;s_210803;c_6714;18.19;1;f;57;2022;5;19;54-58
0_1438;2021-03-03 08:53:02;s_1106;c_6714;9.31;0;f;57;2021;3;3;54-58
0_1440;2021-06-06 10:31:15;s_44820;c_6714;5.62;0;f;57;2021;6;6;54-58
0_1551;2021-09-17 04:48:13;s_91080;c_6714;12.99;0;f;57;2021;9;17;54-58
0_1409;2021-03-30 20:38:34;s_13665;c_6714;4.99;0;f;57;2021;3;30;54-58
2_152;2022-10-05 08:45:13;s_278049;c_6714;34.23;2;f;57;2022;10;5;54-58
0_1586;2021-04-23 06:48:25;s_24490;c_6714;12.71;0;f;57;2021;4;23;54-58
0_1333;2022-12-31 21:37:29;s_320095;c_6714;5.99;0;f;57;2022;12;31;54-58
1_389;2022-04-05 06:49:24;s_189470;c_6714;24.99;1;f;57;2022;4;5;54-58
0_1031;2023-01-29 07:58:51;s_333968;c_6714;6.99;0;f;57;2023;1;29;54-58
0_1370;2021-05-16 18:23:26;s_35391;c_6714;11.3;0;f;57;2021;5;16;54-58
1_412;2021-09-18 09:55:09;s_91700;c_6714;16.65;1;f;57;2021;9;18;54-58
1_536;2022-04-26 05:01:33;s_199593;c_6714;11.21;1;f;57;2022;4;26;54-58
0_1139;2021-10-01 17:59:00;s_98534;c_6714;3.99;0;f;57;2021;10;1;54-58
1_432;2022-07-21 04:40:38;s_241434;c_6714;24.2;1;f;57;2022;7;21;54-58
0_1168;2021-12-03 17:23:09;s_128894;c_6714;11.91;0;f;57;2021;12;3;54-58
0_1060;2021-04-05 05:12:39;s_16178;c_6714;12.53;0;f;57;2021;4;5;54-58
2_7;2022-04-01 12:50:24;s_187714;c_6714;69.99;2;f;57;2022;4;1;54-58
1_504;2021-06-27 08:09:14;s_54476;c_6714;13.79;1;f;57;2021;6;27;54-58
0_1489;2022-11-28 19:09:06;s_304181;c_6714;10.99;0;f;57;2022;11;28;54-58
0_1566;2023-01-10 10:07:44;s_324782;c_6714;9.04;0;f;57;2023;1;10;54-58
0_1299;2022-06-07 21:39:53;s_220378;c_6714;6.99;0;f;57;2022;6;7;54-58
0_1299;2021-10-24 12:56:07;s_109444;c_6714;6.99;0;f;57;2021;10;24;54-58
0_1386;2021-06-18 00:48:40;s_50116;c_6714;13.16;0;f;57;2021;6;18;54-58
1_389;2022-08-30 22:39:23;s_260958;c_6714;24.99;1;f;57;2022;8;30;54-58
0_1548;2022-05-30 07:25:53;s_216245;c_6714;9.66;0;f;57;2022;5;30;54-58
0_1388;2023-01-25 22:41:42;s_332332;c_6714;17.15;0;f;57;2023;1;25;54-58
0_2135;2023-02-15 22:18:12;s_342143;c_6714;4.99;0;f;57;2023;2;15;54-58
0_1529;2022-07-27 04:54:16;s_244305;c_6714;3.99;0;f;57;2022;7;27;54-58
1_480;2022-11-18 04:07:49;s_299132;c_6714;19.08;1;f;57;2022;11;18;54-58
0_1131;2021-12-13 09:25:30;s_133684;c_6714;17.99;0;f;57;2021;12;13;54-58
1_366;2022-06-08 03:43:32;s_220486;c_6714;28.54;1;f;57;2022;6;8;54-58
0_1296;2021-03-10 06:34:51;s_4266;c_6714;5.83;0;f;57;2021;3;10;54-58
1_480;2021-04-18 04:07:49;s_22138;c_6714;19.08;1;f;57;2021;4;18;54-58
